method,n,seed,n_confounded_pairs,shd_obs,precision_obs,recall_obs,spurious_confounder_edges,shd_full,precision_full,recall_full,latent_parent_recoveries
notears_obs_warmstart,5000,4,12,5,0.16666666666666666,1.0,5,nan,nan,nan,nan
dagma_obs_warmstart,5000,4,12,7,0.125,1.0,6,nan,nan,nan,nan
notears_latent_single,5000,4,12,15,0.0625,1.0,8,26,0.05555555555555555,0.1,0
dagma_latent_single,5000,4,12,14,0.06666666666666667,1.0,7,25,0.05555555555555555,0.1,0
notears_latent_stable,5000,4,12,10,0.09090909090909091,1.0,5,18,0.16666666666666666,0.2,0
dagma_latent_stable,5000,4,12,10,0.09090909090909091,1.0,5,20,0.14285714285714285,0.2,0
dagma_latent_warmstart,5000,4,12,1,0.5,1.0,1,9,0.5555555555555556,0.5,12
notears_latent_warmstart,5000,4,12,0,1.0,1.0,0,8,0.625,0.5,12
dagma_latent_symL1,5000,4,12,13,0.07142857142857142,1.0,6,24,0.058823529411764705,0.1,0
oracle_dagma,5000,4,12,0,1.0,1.0,0,0,1.0,1.0,12
notears_obs,5000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
dagma_obs,5000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
notears_obs_warmstart,5000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
dagma_obs_warmstart,5000,5,13,9,0.2,0.5,6,nan,nan,nan,nan
notears_latent_single,5000,5,13,7,0.2857142857142857,0.5,4,17,0.25,0.15384615384615385,8
dagma_latent_single,5000,5,13,8,0.25,0.5,5,18,0.2222222222222222,0.15384615384615385,8
notears_latent_stable,5000,5,13,8,0.25,0.5,5,17,0.3,0.23076923076923078,0
dagma_latent_stable,5000,5,13,11,0.18181818181818182,0.5,8,17,0.35714285714285715,0.38461538461538464,3
dagma_latent_warmstart,5000,5,13,3,0.6666666666666666,0.5,0,6,0.7333333333333333,0.8461538461538461,13
notears_latent_warmstart,5000,5,13,3,0.6,0.75,1,11,0.5625,0.6923076923076923,13
dagma_latent_symL1,5000,5,13,10,0.2,0.5,6,18,0.2727272727272727,0.23076923076923078,0
oracle_dagma,5000,5,13,0,1.0,1.0,0,0,1.0,1.0,13
notears_obs,5000,6,10,8,0.2,0.6666666666666666,5,nan,nan,nan,nan
dagma_obs,5000,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_obs_warmstart,5000,6,10,8,0.2,0.6666666666666666,5,nan,nan,nan,nan
dagma_obs_warmstart,5000,6,10,7,0.2222222222222222,0.6666666666666666,5,nan,nan,nan,nan
notears_latent_single,5000,6,10,8,0.2727272727272727,1.0,5,18,0.23076923076923078,0.2727272727272727,1
dagma_latent_single,5000,6,10,8,0.2,0.6666666666666666,5,18,0.16666666666666666,0.18181818181818182,1
notears_latent_stable,5000,6,10,9,0.25,1.0,7,17,0.2857142857142857,0.36363636363636365,0
dagma_latent_stable,5000,6,10,8,0.2727272727272727,1.0,6,16,0.2727272727272727,0.2727272727272727,0
dagma_latent_warmstart,5000,6,10,3,0.5,1.0,2,10,0.5294117647058824,0.8181818181818182,9
notears_latent_warmstart,5000,6,10,3,0.4,0.6666666666666666,2,12,0.42857142857142855,0.5454545454545454,9
dagma_latent_symL1,5000,6,10,7,0.3,1.0,5,18,0.23076923076923078,0.2727272727272727,0
oracle_dagma,5000,6,10,0,1.0,1.0,0,0,1.0,1.0,10
notears_obs,5000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs,5000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,5000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
dagma_obs_warmstart,5000,7,9,8,0.3333333333333333,1.0,7,nan,nan,nan,nan
notears_latent_single,5000,7,9,10,0.2857142857142857,1.0,7,17,0.3333333333333333,0.4166666666666667,1
dagma_latent_single,5000,7,9,10,0.23076923076923078,0.75,6,17,0.26666666666666666,0.3333333333333333,2
notears_latent_stable,5000,7,9,8,0.3,0.75,6,15,0.36363636363636365,0.3333333333333333,0
dagma_latent_stable,5000,7,9,8,0.2727272727272727,0.75,6,15,0.3333333333333333,0.3333333333333333,0
dagma_latent_warmstart,5000,7,9,5,0.375,0.75,4,6,0.6470588235294118,0.9166666666666666,9
notears_latent_warmstart,5000,7,9,4,0.42857142857142855,0.75,3,6,0.6666666666666666,0.8333333333333334,9
dagma_latent_symL1,5000,7,9,10,0.23076923076923078,0.75,6,17,0.26666666666666666,0.3333333333333333,0
oracle_dagma,5000,7,9,0,1.0,1.0,0,0,1.0,1.0,9
notears_obs,5000,8,11,9,0.25,1.0,8,nan,nan,nan,nan
dagma_obs,5000,8,11,8,0.2727272727272727,1.0,7,nan,nan,nan,nan
notears_obs_warmstart,5000,8,11,9,0.25,1.0,8,nan,nan,nan,nan
dagma_obs_warmstart,5000,8,11,8,0.2727272727272727,1.0,7,nan,nan,nan,nan
notears_latent_single,5000,8,11,4,0.42857142857142855,1.0,3,8,0.6363636363636364,0.6363636363636364,6
dagma_latent_single,5000,8,11,4,0.42857142857142855,1.0,3,8,0.6363636363636364,0.6363636363636364,6
notears_latent_stable,5000,8,11,9,0.25,1.0,8,15,0.35714285714285715,0.45454545454545453,1
dagma_latent_stable,5000,8,11,12,0.2,1.0,10,16,0.3684210526315789,0.6363636363636364,3
dagma_latent_warmstart,5000,8,11,0,1.0,1.0,0,2,0.8461538461538461,1.0,11
notears_latent_warmstart,5000,8,11,1,1.0,0.6666666666666666,0,3,0.8333333333333334,0.9090909090909091,11
dagma_latent_symL1,5000,8,11,1,0.75,1.0,1,7,0.6666666666666666,0.5454545454545454,4
oracle_dagma,5000,8,11,0,1.0,1.0,0,0,1.0,1.0,11
notears_obs,5000,9,11,10,0.125,0.25,7,nan,nan,nan,nan
dagma_obs,5000,9,11,11,0.1,0.25,8,nan,nan,nan,nan
notears_obs_warmstart,5000,9,11,10,0.125,0.25,7,nan,nan,nan,nan
dagma_obs_warmstart,5000,9,11,11,0.1,0.25,8,nan,nan,nan,nan
notears_latent_single,5000,9,11,12,0.09090909090909091,0.25,6,20,0.25,0.3076923076923077,5
dagma_latent_single,5000,9,11,12,0.09090909090909091,0.25,6,19,0.26666666666666666,0.3076923076923077,5
notears_latent_stable,5000,9,11,13,0.08333333333333333,0.25,8,20,0.21428571428571427,0.23076923076923078,0
dagma_latent_stable,5000,9,11,11,0.1,0.25,7,20,0.1,0.07692307692307693,0
dagma_latent_warmstart,5000,9,11,3,0.5,0.25,0,7,0.6666666666666666,0.7692307692307693,11
notears_latent_warmstart,5000,9,11,4,0.3333333333333333,0.25,1,8,0.625,0.7692307692307693,11
dagma_latent_symL1,5000,9,11,9,0.125,0.25,5,17,0.2727272727272727,0.23076923076923078,2
oracle_dagma,5000,9,11,1,1.0,0.75,0,1,1.0,0.9230769230769231,11
